IDs,"metNames",chebi,kegg,mean,max,min,concs
YMDB01959,"PC(18:2(9Z,12Z)/18:1(11Z))",CHEBI:89599,C00157,1,1,1,1 +/- 0 uM
YMDB01960,"PC(18:2(9Z,12Z)/18:1(9Z))",CHEBI:89597,C00157,1,1,1,1 +/- 0 uM
YMDB01961,"PC(18:2(9Z,12Z)/18:2(9Z,12Z))",CHEBI:42027,C00157,1,1,1,1 +/- 0 uM
YMDB01962,"PC(18:2(9Z,12Z)/20:3(5Z,8Z,11Z))",CHEBI:89600,C00157,0.772,0.8106,0.7334,0.772 +/- 0.0386 uM
YMDB01963,"PC(18:2(9Z,12Z)/18:3(6Z,9Z,12Z))",,C00157,0.038,0.0399,0.0361,0.038 +/- 0.0019 uM
YMDB01964,"PC(18:2(9Z,12Z)/18:3(9Z,12Z,15Z))",,C00157,0.038,0.0399,0.0361,0.038 +/- 0.0019 uM
YMDB01965,"PC(18:2(9Z,12Z)/18:4(6Z,9Z,12Z,15Z))",CHEBI:89576,C00157,0.021,0.02205,0.01995,0.021 +/- 0.00105 uM
YMDB01966,"PC(18:2(9Z,12Z)/20:1(11Z))",CHEBI:89574,C00157,0.185,0.19425,0.17575,0.185 +/- 0.00925 uM
YMDB01967,"PC(18:2(9Z,12Z)/20:2(11Z,14Z))",,C00157,2,2,2,2 +/- 0 uM
YMDB01968,"PC(18:2(9Z,12Z)/20:3(8Z,11Z,14Z))",CHEBI:89580,C00157,0.772,0.8106,0.7334,0.772 +/- 0.0386 uM
YMDB01969,"PC(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z))",CHEBI:84563,C00157,0.557,0.58485,0.52915,0.557 +/- 0.02785 uM
YMDB01970,"PC(18:2(9Z,12Z)/20:4(8Z,11Z,14Z,17Z))",CHEBI:89579,C00157,0.557,0.58485,0.52915,0.557 +/- 0.02785 uM
YMDB01971,"PC(18:2(9Z,12Z)/22:0)",,C00157,0.043,0.04515,0.04085,0.043 +/- 0.00215 uM
YMDB01972,"PC(18:2(9Z,12Z)/22:1(13Z))",CHEBI:89585,C00157,0.007,0.00735,0.00665,0.007 +/- 0.00035 uM
YMDB01973,"PC(18:2(9Z,12Z)/22:2(13Z,16Z))",,C00157,0.093,0.09765,0.08835,0.093 +/- 0.00465 uM
YMDB01974,"PC(18:2(9Z,12Z)/24:0)",CHEBI:89589,C00157,0.01,0.0105,0.0095,0.01 +/- 0.0005 uM
YMDB01975,"PC(18:2(9Z,12Z)/P-16:0)",CHEBI:89591,C00157,3,3,3,3 +/- 0 uM
